Artist,Country,Album,Year,Song,Number
Blue Öyster Cult,US,The Revolution By Night,1987,Take Me Away,1
Blue Öyster Cult,US,The Revolution By Night,1987,Eyes On Fire,2
Blue Öyster Cult,US,The Revolution By Night,1987,Shooting Shark,3
Blue Öyster Cult,US,The Revolution By Night,1987,Veins,4
Blue Öyster Cult,US,The Revolution By Night,1987,Shadow of California,5
Blue Öyster Cult,US,The Revolution By Night,1987,Feel the Thunder,6
Blue Öyster Cult,US,The Revolution By Night,1987,Let Go,7
Blue Öyster Cult,US,The Revolution By Night,1987,Dragon Lady,8
Blue Öyster Cult,US,The Revolution By Night,1987,Light Years of Love,9
Blue Öyster Cult,US,Club Ninja,2009,White Flags,1
Blue Öyster Cult,US,Club Ninja,2009,Dancin’ in the Ruins,2
Blue Öyster Cult,US,Club Ninja,2009,Make Rock Not War,3
Blue Öyster Cult,US,Club Ninja,2009,Perfect Water,4
Blue Öyster Cult,US,Club Ninja,2009,Spy in the House of the Night,5
Blue Öyster Cult,US,Club Ninja,2009,Beat ’Em Up,6
Blue Öyster Cult,US,Club Ninja,2009,When the War Comes,7
Blue Öyster Cult,US,Club Ninja,2009,Shadow Warrior,8
Blue Öyster Cult,US,Club Ninja,2009,Madness to the Method,9
Geier Sturzflug,DE,Heiße Zeiten,1983,Besuchen Sie Europa (solange es noch steht),1
Geier Sturzflug,DE,Heiße Zeiten,1983,Karibische Gefühle,2
Geier Sturzflug,DE,Heiße Zeiten,1983,Seemannslied,3
Geier Sturzflug,DE,Heiße Zeiten,1983,Walkmanfan,4
Geier Sturzflug,DE,Heiße Zeiten,1983,Der moderne Mensch,5
Geier Sturzflug,DE,Heiße Zeiten,1983,Halli Galli,6
Geier Sturzflug,DE,Heiße Zeiten,1983,Des kleinen Mannes Sonnenschein,7
Geier Sturzflug,DE,Heiße Zeiten,1983,Bruttosozialprodukt,8
Geier Sturzflug,DE,Heiße Zeiten,1983,Korken auf dem Wasser,9
Geier Sturzflug,DE,Heiße Zeiten,1983,Harte Zeiten,10
Geier Sturzflug,DE,Heiße Zeiten,1983,Halt mich fest,11
Geier Sturzflug,DE,Lust am Leben,2001,Pure Lust am Leben,1
Geier Sturzflug,DE,Lust am Leben,2001,Wir sind die Leute,2
Geier Sturzflug,DE,Lust am Leben,2001,Halt mich fest,3
Geier Sturzflug,DE,Lust am Leben,2001,Einsamkeit,4
Geier Sturzflug,DE,Lust am Leben,2001,Musikbox,5
Geier Sturzflug,DE,Lust am Leben,2001,Alle Amis,6
Geier Sturzflug,DE,Lust am Leben,2001,Reggae im Ruhrgebiet,7
Geier Sturzflug,DE,Lust am Leben,2001,Bruttosozialprodukt,8
Geier Sturzflug,DE,Lust am Leben,2001,Euroshima,9
Geier Sturzflug,DE,Lust am Leben,2001,Marihuana,10
Geier Sturzflug,DE,Lust am Leben,2001,Harte Zeiten,11
Geier Sturzflug,DE,Lust am Leben,2001,Karibische Gefühle,12
Geier Sturzflug,DE,Lust am Leben,2001,Besuchen Sie Europa (solange es noch steht),13
Geier Sturzflug,DE,Lust am Leben,2001,Skandal,14
Geier Sturzflug,DE,Lust am Leben,2001,Mokkadischu,15
Geier Sturzflug,DE,Lust am Leben,2001,Diese Welt,16
Geier Sturzflug,DE,Lust am Leben,2001,Küss mich good-bye,17
Geier Sturzflug,DE,Lust am Leben,2001,Bilder aus der Wirklichkeit,18
Steeleye Span,GB,Below the Salt,1972,Spotted Cow,1
Steeleye Span,GB,Below the Salt,1972,Rosebud in June,2
Steeleye Span,GB,Below the Salt,1972,Jigs: The Bride's Favorite Tansey's Fancy,3
Steeleye Span,GB,Below the Salt,1972,Sheep-Crook and Black Dog,4
Steeleye Span,GB,Below the Salt,1972,Royal Forester,5
Steeleye Span,GB,Below the Salt,1972,King Henry,6
Steeleye Span,GB,Below the Salt,1972,Gaudete,7
Steeleye Span,GB,Below the Salt,1972,John Barleycorn,8
Steeleye Span,GB,Below the Salt,1972,Saucy Sailor,9
Steeleye Span,GB,Hark! The Village Wait,2006,A Calling-On Song,1
Steeleye Span,GB,Hark! The Village Wait,2006,The Blacksmith,2
Steeleye Span,GB,Hark! The Village Wait,2006,Fisherman's Wife,3
Steeleye Span,GB,Hark! The Village Wait,2006,Blackleg Miner,4
Steeleye Span,GB,Hark! The Village Wait,2006,Dark-Eyed Sailor,5
Steeleye Span,GB,Hark! The Village Wait,2006,Copshawholme Fair,6
Steeleye Span,GB,Hark! The Village Wait,2006,All Things Are Quite Silent,7
Steeleye Span,GB,Hark! The Village Wait,2006,The Hills of Greenmore,8
Steeleye Span,GB,Hark! The Village Wait,2006,My Johnny Was a Shoemaker,9
Steeleye Span,GB,Hark! The Village Wait,2006,Lowlands of Holland,10
Steeleye Span,GB,Hark! The Village Wait,2006,Twa Corbies,11
Steeleye Span,GB,Hark! The Village Wait,2006,One Night as I Lay on My Bed,12
